TFs	Genes	Occurrence	occurrence_percentage	Weights	condition
FOS	HERPUD1	3	75.0	0.8823881121774226	CD8 Exhausted
FOS	ZC3H12A	4	100.0	0.8025574594962412	CD8 Exhausted
FOS	CSRNP1	4	100.0	0.790057004987891	CD8 Exhausted
FOS	ITM2C	4	100.0	0.7555777091745193	CD8 Exhausted
FOS	VPS37B	3	75.0	0.7504942403944747	CD8 Exhausted
FOS	RAB11FIP1	4	100.0	0.7326758205747753	CD8 Exhausted
FOS	DNAJB1	4	100.0	0.7250479467981693	CD8 Exhausted
FOS	TPM4	4	100.0	0.7114106261768662	CD8 Exhausted
FOS	RGCC	4	100.0	0.6475096109254246	CD8 Exhausted
FOS	LIMS1	4	100.0	0.6434700432426292	CD8 Exhausted
FOS	MAP3K8	4	100.0	0.612676193580333	CD8 Exhausted
FOS	HSPA5	3	75.0	0.6072337755654394	CD8 Exhausted
FOS	LDLRAD4	4	100.0	0.5644064870099995	CD8 Exhausted
FOS	ARAP2	4	100.0	0.5633359452428999	CD8 Exhausted
FOS	KDM6B	3	75.0	0.5616931749704682	CD8 Exhausted
FOS	TSC22D3	4	100.0	0.557761331978517	CD8 Exhausted
FOS	GPR183	4	100.0	0.5514516750300122	CD8 Exhausted
FOS	ZNF331	3	75.0	0.5309808252373013	CD8 Exhausted
FOS	GSTP1	4	100.0	0.5292644068318602	CD8 Exhausted
FOS	NUCKS1	3	75.0	0.5288164187713954	CD8 Exhausted
FOS	LMBRD1	3	75.0	0.5053735764220934	CD8 Exhausted
FOS	ATF4	3	75.0	0.4873806132936427	CD8 Exhausted
FOS	ELL2	3	75.0	0.483903878000941	CD8 Exhausted
FOS	HSPH1	3	75.0	0.4394658785794966	CD8 Exhausted
FOS	TXNRD1	3	75.0	0.4390648433550872	CD8 Exhausted
FOS	PSAP	4	100.0	0.4281475968426354	CD8 Exhausted
FOS	SLC1A4	3	75.0	0.4092478960759821	CD8 Exhausted
FOS	FAM177A1	4	100.0	0.3901610400528261	CD8 Exhausted
FOS	CD63	4	100.0	0.3889709397410751	CD8 Exhausted
FOS	NFKBIZ	3	75.0	0.371967624037479	CD8 Exhausted
FOS	ANXA2	4	100.0	0.3602123474327248	CD8 Exhausted
FOS	ADGRE5	4	100.0	0.3466929811883333	CD8 Exhausted
FOS	AHNAK	3	75.0	0.3415711324377903	CD8 Exhausted
FOS	RBM3	4	100.0	0.3409518109735932	CD8 Exhausted
FOS	BHLHE40	4	100.0	0.3181303794793163	CD8 Exhausted
FOS	GPX1	3	75.0	0.2988095030153981	CD8 Exhausted
FOS	CHD2	3	75.0	0.2974125740015862	CD8 Exhausted
FOS	CYSTM1	3	75.0	0.2940884394882319	CD8 Exhausted
FOS	PIM3	3	75.0	0.280680552140079	CD8 Exhausted
FOS	CAPG	4	100.0	0.2801839285560157	CD8 Exhausted
FOS	CCNH	4	100.0	0.2773819062751727	CD8 Exhausted
FOS	ACTG1	4	100.0	0.2679800848085651	CD8 Exhausted
FOS	PLIN2	4	100.0	0.2507982751985482	CD8 Exhausted
FOS	ACTB	3	75.0	0.2307284667445074	CD8 Exhausted
FOS	YPEL5	4	100.0	0.2108680999620053	CD8 Exhausted
FOS	ATP1A1	3	75.0	0.2032718546773688	CD8 Exhausted
FOS	NINJ1	3	75.0	0.1947758805655284	CD8 Exhausted
FOS	PTP4A1	3	75.0	0.1937700416334883	CD8 Exhausted
