regulator	target	condition	weight
SYTL3	TSHZ2	differential	1
SYTL3	CCNDBP1	differential	1
SYTL3	AIM1	differential	1
SYTL3	GON4L	differential	1
FYN	CCNDBP1	differential	1
FYN	EIF4A1	differential	1
RPS2	ACTG1	differential	1
RPS2	IL2RB	differential	1
RPS2	JAML	differential	1
RPS2	IGFLR1	differential	1
RPS2	STOML2	differential	1
RPS2	CDK6	differential	1
RPS2	RBPJ	non-differential	1
NR3C1	PPP1R16B	differential	1
NR3C1	BIRC2	differential	1
PTPRC	S100A6	differential	1
PTPRC	PKM	differential	1
PTPRC	FYB	differential	1
PTPRC	DSTN	differential	1
PTPRC	ZNF267	differential	1
SETD2	MIR4435-2HG	differential	1
SETD2	BIRC2	differential	1
SETD2	AIM1	differential	1
SETD2	NAGK	differential	1
SETD2	MOB3A	differential	1
H2AFZ	SNRPD1	differential	1
H2AFZ	SPOCK2	differential	1
H2AFZ	PIK3IP1	differential	1
H2AFZ	G6PD	differential	1
H2AFZ	EIF4EBP1	differential	1
H2AFZ	CCNT1	differential	1
ACTG1	CDC25B	differential	1
ACTG1	RPL26	differential	1
ACTG1	GPN1	differential	1
RNF19A	APLP2	differential	1
RNF19A	IL10RA	differential	1
RNF19A	FAM46C	differential	1
RNF19A	TC2N	differential	1
RNF19A	DNAJC3	non-differential	1
CD27	ARHGEF1	differential	1
CD27	TSPO	differential	1
CD27	BST2	differential	1
SRGN	LITAF	differential	1
SRGN	MLLT3	differential	1
SRGN	CORO1A	differential	1
SRGN	ZFP36L1	differential	1
SRGN	IL27RA	differential	1
MT-ATP8	RPL4	differential	1
MT-ATP8	MGST3	differential	1
MT-ATP8	FLNA	differential	1
STAT4	WARS	differential	1
STAT4	SLC16A3	differential	1
STAT4	IRF7	differential	1
STAT4	MALT1	differential	1
STAT4	NFKB2	differential	1
ITM2C	CD63	non-differential	1
ITM2C	TOM1	differential	1
ITM2C	CORO1A	differential	1
ITM2C	GLIPR2	differential	1
FTL	TXNRD1	differential	1
FTL	TSC22D3	differential	1
FTL	IFNGR1	differential	1
FTL	LSM7	differential	1
RPS29	TSC22D3	differential	1
RPS29	NAA38	differential	1
RPS29	ITGB2	differential	1
RPS29	PSMB5	differential	1
RPS29	EFHD2	differential	1
RPS29	BST2	differential	1
RPS29	MOB3A	differential	1
TUBA1C	RALGAPA1	differential	1
TUBA1C	PITPNC1	differential	1
TUBA1C	DEK	differential	1
BATF	HSPD1	non-differential	1
BATF	TTC39C	non-differential	1
TMSB10	GLRX	differential	1
TMSB10	CALM3	differential	1
TMSB10	CSRP1	non-differential	1
TMSB10	IQGAP2	differential	1
TMSB10	NDUFB9	differential	1
TMSB10	NAGK	differential	1
TMSB10	PIM1	non-differential	1
TMSB10	NDUFA13	differential	1
MYADM	PEX16	differential	1
MT-ND3	HIST1H2AC	non-differential	1
MT-ND3	NMRK1	differential	1
MT-ND3	OXSR1	non-differential	1
HSPA5	GLA	differential	1
HSPA5	STOML2	differential	1
HSPA5	PHF1	differential	1
ABCG1	IL32	differential	1
ABCG1	NAMPT	differential	1
ABCG1	GPX4	differential	1
ABCG1	CCPG1	differential	1
ABCG1	SKP1	differential	1
ABCG1	THOC3	differential	1
TNFAIP3	AC133644.2	differential	1
TNFAIP3	ARID5A	differential	1
TNFAIP3	USP11	differential	1
TNFAIP3	BTG3	non-differential	1
TNFAIP3	SART3	differential	1
IL32	HTATIP2	differential	1
IL32	PTRHD1	differential	1
IL32	PRNP	differential	1
IL32	SNRPE	differential	1
IL32	ZNF106	non-differential	1
SSR4	NEAT1	differential	1
SSR4	SEC11C	differential	1
SSR4	GCLM	non-differential	1
SSR4	POLG	differential	1
SATB1	ATP1A1	differential	1
SATB1	CMTM7	differential	1
SATB1	CHD2	differential	1
SATB1	AHR	non-differential	1
SATB1	NDUFA3	differential	1
SATB1	LTA4H	non-differential	1
CKS2	BAZ1A	differential	1
CKS2	CTLA4	non-differential	1
CKS2	COTL1	differential	1
TBC1D4	CTSB	differential	1
TBC1D4	SRPRA	differential	1
TBC1D4	SACM1L	differential	1
LGALS3	TMPO	differential	1
LGALS3	CTSB	differential	1
LGALS3	LINC00152	differential	1
LGALS3	TIMM13	differential	1
LGALS3	FLNA	differential	1
LGALS3	GDE1	differential	1
LGALS3	RNF213	differential	1
LGALS3	NDUFA12	differential	1
RPLP0	TMEM173	non-differential	1
RPLP0	SPTBN1	differential	1
RPLP0	GPX4	differential	1
RPLP0	GPR65	differential	1
RPLP0	BET1L	differential	1
RPLP0	LDHA	differential	1
RPLP0	TMEM14C	differential	1
HMGA1	CORO1B	differential	1
HMGA1	ASAH1	differential	1
HMGA1	DSTN	differential	1
BIRC3	FAM102A	differential	1
BIRC3	ARMCX3	differential	1
PDE4B	DNAJC3	non-differential	1
CD7	GLRX	differential	1
CD7	RPL13A	differential	1
CD7	ZFP36L1	differential	1
CD7	RANGAP1	differential	1
CD5	RGCC	differential	1
CD5	IL16	differential	1
CD5	RABAC1	differential	1
CD5	NUMA1	differential	1
