TFs,Genes,Weights,Occurrence,occurrence_percentage
JUN,ATF4,1.0715701101649409,4,100.0
JUN,PRDM1,1.0139843440192884,4,100.0
JUN,JUN,1.0,4,100.0
JUN,STAT5B,0.9881890234083516,4,100.0
JUN,ADGRE5,0.8512390440379298,4,100.0
JUN,ZEB2,0.8166075610943256,3,75.0
JUN,JUNB,0.7094396744219165,4,100.0
JUN,HSPA5,0.6971587473201349,4,100.0
JUN,RALA,0.6703206147893906,4,100.0
JUN,NFATC2,0.5965748475124931,3,75.0
JUN,NR4A2,0.5278698823861614,4,100.0
JUN,PPP1R15A,0.52599077399509,4,100.0
JUN,CD63,0.46780175879061403,3,75.0
JUN,IRF2BP2,0.44382693024443626,4,100.0
JUN,ELL2,0.43091276924841454,3,75.0
JUN,AHNAK,0.41647079326685493,4,100.0
JUN,RGCC,0.4085953772362794,4,100.0
JUN,TSHZ2,0.40795015690609127,3,75.0
JUN,JUND,0.40634387262042837,4,100.0
JUN,TSC22D3,0.379584879890592,4,100.0
JUN,ANXA2,0.3774331141998198,3,75.0
JUN,TNFAIP3,0.3644968858792518,4,100.0
JUN,ABLIM1,0.36088229749271017,3,75.0
JUN,PIM3,0.35326098076959944,3,75.0
JUN,CDKN1A,0.3451616397031292,3,75.0
JUN,SYTL2,0.33307480186554694,4,100.0
JUN,SNX9,0.32924036883489227,4,100.0
JUN,BTG1,0.323670448930301,3,75.0
JUN,IER2,0.3062922975656748,4,100.0
JUN,MARCKSL1,0.3059645695203829,4,100.0
JUN,DUSP1,0.3020086010937727,4,100.0
JUN,ZC3H12A,0.30079339345307954,4,100.0
JUN,SYTL3,0.2961722804265109,4,100.0
JUN,KDM6B,0.29542878476387796,3,75.0
JUN,CD247,0.2820324067742395,3,75.0
JUN,GADD45B,0.27275684131781947,4,100.0
JUN,EZR,0.25957265953545183,3,75.0
JUN,MAP1LC3A,0.25040107447388615,4,100.0
JUN,PTGER4,0.22515866429611422,3,75.0
JUN,LDLRAD4,0.2179157470965437,4,100.0
JUN,YPEL5,0.2133373538450157,4,100.0
JUN,HSPA1A,0.21156089480598714,3,75.0
JUN,RALGAPA1,0.20750629695240388,3,75.0
JUN,SLC39A8,0.1909930901972067,3,75.0
JUN,PTP4A1,0.18795565176817985,3,75.0
JUN,RAB11FIP1,0.18684048001455647,3,75.0
JUN,HSPH1,0.1819846966908065,3,75.0
JUN,PEA15,0.17955367774601083,4,100.0
JUN,BTG2,0.1776346150776992,3,75.0
JUN,CTSB,0.16913386439480863,3,75.0
JUN,SMCHD1,0.16309834113039312,3,75.0
JUN,MAP3K8,0.15806308098763913,4,100.0
JUN,ATP1B3,0.1222175237907322,3,75.0
JUN,LYST,0.10164195747508287,3,75.0
JUNB,FOS,2.768799963903177,4,100.0
JUNB,NR4A2,2.4016895674364003,4,100.0
JUNB,IRF2BP2,2.1956284616918764,4,100.0
JUNB,DUSP1,2.0893557803934484,4,100.0
JUNB,FTL,1.9861959870295585,4,100.0
JUNB,TUBA4A,1.964534850562364,4,100.0
JUNB,IER2,1.8532286316388369,4,100.0
JUNB,KDM6B,1.7754563055429606,3,75.0
JUNB,BIRC3,1.7750432548477826,4,100.0
JUNB,PSAP,1.769565941326651,4,100.0
